原名,拉丁名,英语,简体中文,繁體中文,粤语(繁体),日语,俄语,法语,葡萄牙语,西班牙语,越南语,朝鲜语
靈,Rei,,,,,,,,,,,
暮予星光,Reminiscence in Starlight,,,,,,,,,,,
Sakuyahime,Sakuyahime,,,,,,,,,,,
Sheer Ice Torrent,Sheer Ice Torrent,,,,,,,,,,,
いつか忘れるんだろう,"Someday, I will Forget",,,,,,,,,,,
Sound of Nature,Sound of Nature,,,,,,,,,,,
烁雨,Sparkrain,,,,,,,,,,,
Splash the Beat!!,Splash the Beat!!,,,,,,,,,,,
Sundown,Sundown,,,,,,,,,,,
粗线条的雨,Thick Rain,,,,,,,,,,,
Threat - Metropolis,Threat - Metropolis,,,,,,,,,,,
Threat - Sky Islands,Threat - Sky Islands,,,,,,,,,,,
Threat - Superstructure,Threat - Superstructure,,,,,,,,,,,
Threat - Waterfront Complex,Threat - Waterfront Complex,,,,,,,,,,,
白虎蓮華,Tiger Lotus,,,,,,,,,,,
運命,Unmei,,,,,,,,,,,
Vestige of Dreams,Vestige of Dreams,,,,,,,,,,,
Virtual S0da,Virtual S0da,,,,,,,,,,,
WATER,WATER,,,,,,,,,,,
Welcome to Milthm,Welcome to Milthm,,,,,,,,,,,
White Lizard,White Lizard,,,,,,,,,,,
Words,Words,,,,,,,,,,,
夜風,Yokaze,,,,,,,,,,,
apOapSis(Edit),apOapSis(Edit),,,,,,,,,,,
cafe in 6412I731V,cafe in 6412I731V,,,,,,,,,,,
conflict,conflict,,,,,,,,,,,
cybernetic blazar,cybernetic blazar,,,,,,,,,,,
イコラト,eclat,,,,,,,,,,,
slic.hertz #GdbG,slic.hertz #GdbG,,,,,,,,,,,
